"","Acorn_grouped","DateTime_month","ExpDemand","normal_KWh_mean","high_KWh_mean","low_KWh_mean","flat_KWh_mean"
"1","Adversity",1,"High",0.300039852069008,0.3093185375,0.305204109266567,0.29963655141541
"2","Adversity",1,"Low",0.103154541932404,0.104794406945298,0.110672218040922,0.124160470036369
"3","Adversity",1,"Normal",0.200126487027283,0.177945210280374,0.252463717129057,0.206871617927185
"4","Adversity",2,"High",0.293262259839751,0.270009161011317,0.32428061018558,0.293951387382105
"5","Adversity",2,"Low",0.104868084404514,0.0990616890962896,0.108542999146694,0.121895303108205
"6","Adversity",2,"Normal",0.199686746624355,0.198131028328784,0.216413605437464,0.203259013998893
"7","Adversity",3,"High",0.285435095734465,0.2640045017389,0.275020636629407,0.290522184684385
"8","Adversity",3,"Low",0.101953328069941,0.103510882130584,0.106221458180807,0.127150772718839
"9","Adversity",3,"Normal",0.193986635108975,0.187948074289317,0.20908492622676,0.205049564043291
"10","Adversity",4,"High",0.237302840353057,0.217795270891949,0.209556896724138,0.24665398813891
"11","Adversity",4,"Low",0.0939404116944304,0.0870229095074456,0.0962636604774536,0.118678487468436
"12","Adversity",4,"Normal",0.1710997414768,0.169526065070124,0.175836899523744,0.183832483247947
"13","Adversity",5,"High",0.206194029463878,0.194113379464538,0.207337324751851,0.214088563599479
"14","Adversity",5,"Low",0.0869218403684353,NA,0.0884626161628078,0.105742558964869
"15","Adversity",5,"Normal",0.158646860236669,0.146154054853784,0.152254926470995,0.166049410470016
"16","Adversity",6,"High",0.192117326833982,0.182194867000935,0.206788214794868,0.20402059517782
"17","Adversity",6,"Low",0.0837522641840363,0.0816745561592254,0.0866162496198923,0.0984996046587483
"18","Adversity",6,"Normal",0.148349912993565,0.140894180469369,0.16909282627974,0.15985816607286
"19","Adversity",7,"High",0.185979877057395,0.164241258601399,0.194432871492276,0.199820078517723
"20","Adversity",7,"Low",0.0903033864195814,0.0945864484813084,0.0907769603678606,0.100708287097963
"21","Adversity",7,"Normal",0.144932265534331,0.148571288212181,0.154977035615767,0.154743414285123
"22","Adversity",8,"High",0.183753386275263,NA,0.19637954245404,0.197243388661602
"23","Adversity",8,"Low",0.085352940047448,0.0847793427230047,0.084684005626327,0.0991016720413715
"24","Adversity",8,"Normal",0.139586271427962,0.141388106455399,0.146852564166667,0.152254437797527
"25","Adversity",9,"High",0.211284015667865,0.221561130812721,0.219399293374558,0.221098624254438
"26","Adversity",9,"Low",0.0876641514011449,0.080443335451674,0.0934505465300546,0.099877510090012
"27","Adversity",9,"Normal",0.151347809085395,0.144062322910765,0.157488004444858,0.161379324733142
"28","Adversity",10,"High",0.23430798899735,0.233548667850799,0.232003552575488,0.25232296477391
"29","Adversity",10,"Low",0.0890583860980125,0.0836618023861171,0.0957866736071398,0.107142618712161
"30","Adversity",10,"Normal",0.158266932938401,0.152051564702901,0.204767703485697,0.175962045396091
"31","Adversity",11,"High",0.263553593792111,0.264748218507522,0.327701325688073,0.279916195866605
"32","Adversity",11,"Low",0.0967483866201895,0.102986654626335,0.102509550382757,0.11582644002548
"33","Adversity",11,"Normal",0.179224184635752,0.153014415483182,0.193316197571518,0.191047535151604
"34","Adversity",12,"High",0.274723918744405,0.279625330310359,0.29604236999441,0.296278040252685
"35","Adversity",12,"Low",0.100884340003015,0.0989959184693878,0.0998119843826892,0.123987800871166
"36","Adversity",12,"Normal",0.195807949251995,0.209368546821224,0.20235960524827,0.21150380788601
"37","Affluent",1,"High",0.416493712308439,0.444908556494845,0.41356085895128,0.432241391075023
